Species;FAO;Stock;Mod;RCP;Year;Month;AreaBefore;AreaAfter;AreaAfter_Temp;AreaAfter_Sal;AreaAfter_O2
Torsk;COD;ALL;EC-EARTH;rcp45;2007;6;26529;16046;23799;21950;21678
Torsk;COD;ALL;EC-EARTH;rcp45;2007;7;26529;12573;20240;22430;21940
Torsk;COD;ALL;EC-EARTH;rcp45;2007;8;26529;9928;17559;22837;21597
Torsk;COD;ALL;EC-EARTH;rcp85;2007;3;26529;21136;26168;24631;23127
Torsk;COD;ALL;EC-EARTH;rcp85;2007;4;26529;17235;26493;20800;23003
Torsk;COD;ALL;EC-EARTH;rcp85;2007;5;26529;15427;24664;21867;21280
Torsk;COD;ALL;EC-EARTH;rcp85;2007;6;26529;9944;19137;22814;20520
Torsk;COD;ALL;EC-EARTH;rcp85;2007;7;26529;8771;17644;22904;20390
Torsk;COD;ALL;EC-EARTH;rcp85;2007;8;26529;8136;17320;22608;20164
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2007;3;26529;9672;14572;21576;20768
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2007;4;26529;11300;15167;22617;21191
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2007;5;26529;11678;16818;21032;21224
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2007;6;26529;12779;17394;20042;22949
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2007;7;26529;10438;15618;20729;22455
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2007;8;26529;8076;15248;20853;21155
Torsk;COD;ALL;HadGEM2-ES;rcp45;2007;3;26529;10069;18429;22294;16042
Torsk;COD;ALL;HadGEM2-ES;rcp45;2007;4;26529;9033;20245;19035;18355
Torsk;COD;ALL;HadGEM2-ES;rcp45;2007;5;26529;10597;22816;19334;18341
Torsk;COD;ALL;HadGEM2-ES;rcp45;2007;6;26529;6481;18502;20721;17763
Torsk;COD;ALL;HadGEM2-ES;rcp45;2007;7;26529;4545;16924;21082;17524
Torsk;COD;ALL;HadGEM2-ES;rcp45;2007;8;26529;3941;16337;21345;17281
Torsk;COD;ALL;HadGEM2-ES;rcp85;2007;3;26529;18012;21507;24375;23913
Torsk;COD;ALL;HadGEM2-ES;rcp85;2007;4;26529;19737;25870;24149;22526
Torsk;COD;ALL;HadGEM2-ES;rcp85;2007;5;26529;16196;25607;21558;21337
Torsk;COD;ALL;HadGEM2-ES;rcp85;2007;6;26529;12308;21078;22823;20814
Torsk;COD;ALL;HadGEM2-ES;rcp85;2007;7;26529;9204;17459;23307;20834
Torsk;COD;ALL;HadGEM2-ES;rcp85;2007;8;26529;8212;16941;22403;20576
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2008;3;26529;12091;22761;22315;18882
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2008;4;26529;14422;26314;22547;18413
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2008;5;26529;14163;25304;22171;19131
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2008;6;26529;10394;19526;23452;19930
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2008;7;26529;8802;17156;23354;20398
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2008;8;26529;8590;16784;22917;19459
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2008;3;26529;8692;16291;21564;20744
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2008;4;26529;16430;23825;22428;21932
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2008;5;26529;17608;24422;23044;22549
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2008;6;26529;14986;21054;22761;23207
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2008;7;26529;12869;19485;22124;22906
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2008;8;26529;11494;17840;22702;23075
Torsk;COD;ALL;EC-EARTH;rcp45;2008;3;26529;11227;17110;23550;20587
Torsk;COD;ALL;EC-EARTH;rcp45;2008;4;26529;13426;21551;22660;20397
Torsk;COD;ALL;EC-EARTH;rcp45;2008;5;26529;15141;24544;22106;20698
Torsk;COD;ALL;EC-EARTH;rcp45;2008;6;26529;12510;20277;23295;21494
Torsk;COD;ALL;EC-EARTH;rcp45;2008;7;26529;10029;17501;22592;21855
Torsk;COD;ALL;EC-EARTH;rcp45;2008;8;26529;9713;16995;23456;21635
Torsk;COD;ALL;EC-EARTH;rcp85;2008;3;26529;15352;24766;23298;19679
Torsk;COD;ALL;EC-EARTH;rcp85;2008;4;26529;17537;26524;23788;20270
Torsk;COD;ALL;EC-EARTH;rcp85;2008;5;26529;17041;25585;21671;22101
Torsk;COD;ALL;EC-EARTH;rcp85;2008;6;26529;11778;18017;23504;23062
Torsk;COD;ALL;EC-EARTH;rcp85;2008;7;26529;10668;15671;23559;23341
Torsk;COD;ALL;EC-EARTH;rcp85;2008;8;26529;10002;14487;22900;23307
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2008;3;26529;17726;26332;22159;21674
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2008;4;26529;19361;26529;23201;22212
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2008;5;26529;19012;25619;21985;23439
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2008;6;26529;16312;22981;21060;23596
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2008;7;26529;12704;19654;20781;23548
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2008;8;26529;9930;17377;20653;23150
Torsk;COD;ALL;HadGEM2-ES;rcp45;2008;3;26529;15172;21015;23619;20395
Torsk;COD;ALL;HadGEM2-ES;rcp45;2008;4;26529;15217;22844;22180;20491
Torsk;COD;ALL;HadGEM2-ES;rcp45;2008;5;26529;15577;22901;22453;20398
Torsk;COD;ALL;HadGEM2-ES;rcp45;2008;6;26529;12176;20153;22599;19604
Torsk;COD;ALL;HadGEM2-ES;rcp45;2008;7;26529;8180;16127;22941;19706
Torsk;COD;ALL;HadGEM2-ES;rcp45;2008;8;26529;7928;15368;23503;20006
Torsk;COD;ALL;HadGEM2-ES;rcp85;2008;3;26529;16457;21522;24013;22437
Torsk;COD;ALL;HadGEM2-ES;rcp85;2008;4;26529;18861;24317;22718;24826
Torsk;COD;ALL;HadGEM2-ES;rcp85;2008;5;26529;19669;24263;23112;24838
Torsk;COD;ALL;HadGEM2-ES;rcp85;2008;6;26529;13674;18755;23448;24062
Torsk;COD;ALL;HadGEM2-ES;rcp85;2008;7;26529;11121;16746;22635;23226
Torsk;COD;ALL;HadGEM2-ES;rcp85;2008;8;26529;9987;16546;22749;21050
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2009;3;26529;12349;19412;22926;18850
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2009;4;26529;10529;20350;20038;18745
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2009;5;26529;11417;21408;20866;18204
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2009;6;26529;7442;19372;19713;17467
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2009;7;26529;6095;18705;20397;17349
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2009;8;26529;4484;17608;20686;17444
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2009;3;26529;13532;23138;21103;20362
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2009;4;26529;12591;26367;19407;19697
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2009;5;26529;12679;25802;19068;20292
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2009;6;26529;8992;20981;20385;19952
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2009;7;26529;5423;17341;20703;19370
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2009;8;26529;5121;16659;20639;18918
Torsk;COD;ALL;EC-EARTH;rcp45;2009;3;26529;10497;17426;23243;21000
Torsk;COD;ALL;EC-EARTH;rcp45;2009;4;26529;11901;18479;22922;22129
Torsk;COD;ALL;EC-EARTH;rcp45;2009;5;26529;17494;23420;22268;23313
Torsk;COD;ALL;EC-EARTH;rcp45;2009;6;26529;12315;17909;23218;23902
Torsk;COD;ALL;EC-EARTH;rcp45;2009;7;26529;12842;16565;23744;24650
Torsk;COD;ALL;EC-EARTH;rcp45;2009;8;26529;12467;15917;23830;24629
Torsk;COD;ALL;EC-EARTH;rcp85;2009;3;26529;10474;17066;24700;16758
Torsk;COD;ALL;EC-EARTH;rcp85;2009;4;26529;16458;22063;23980;20019
Torsk;COD;ALL;EC-EARTH;rcp85;2009;5;26529;17597;23596;22986;21934
Torsk;COD;ALL;EC-EARTH;rcp85;2009;6;26529;14776;21207;22896;22721
Torsk;COD;ALL;EC-EARTH;rcp85;2009;7;26529;11414;18630;22363;22344
Torsk;COD;ALL;EC-EARTH;rcp85;2009;8;26529;9652;16800;22438;22229
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2009;3;26529;11377;22630;19150;20270
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2009;4;26529;15354;25399;20475;21481
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2009;5;26529;12972;25840;17966;21227
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2009;6;26529;11139;25006;16339;20933
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2009;7;26529;7927;21646;15764;21095
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2009;8;26529;4687;18600;15057;21187
Torsk;COD;ALL;HadGEM2-ES;rcp45;2009;3;26529;14360;18927;24204;20836
Torsk;COD;ALL;HadGEM2-ES;rcp45;2009;4;26529;15044;21908;21893;21968
Torsk;COD;ALL;HadGEM2-ES;rcp45;2009;5;26529;15479;23877;21149;21636
Torsk;COD;ALL;HadGEM2-ES;rcp45;2009;6;26529;12857;21406;21570;21429
Torsk;COD;ALL;HadGEM2-ES;rcp45;2009;7;26529;10285;18211;22589;21428
Torsk;COD;ALL;HadGEM2-ES;rcp45;2009;8;26529;9256;16835;22802;21609
Torsk;COD;ALL;HadGEM2-ES;rcp85;2009;3;26529;10941;18072;24470;15219
Torsk;COD;ALL;HadGEM2-ES;rcp85;2009;4;26529;8579;19118;20235;17045
Torsk;COD;ALL;HadGEM2-ES;rcp85;2009;5;26529;9215;17640;22305;16929
Torsk;COD;ALL;HadGEM2-ES;rcp85;2009;6;26529;5253;14854;22723;16562
Torsk;COD;ALL;HadGEM2-ES;rcp85;2009;7;26529;4360;15355;22992;16817
Torsk;COD;ALL;HadGEM2-ES;rcp85;2009;8;26529;4034;15112;22821;16497
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2010;3;26529,44;4210,826;8426,372;20542,67;18971,33
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2010;4;26529,44;5451,84;9693,973;20304,06;19386,61
